Category,ID,Rule_Text,Flag
SYNTHESIS_CLOCKING,1,"All clocks and resets must be documented in TOP_HEADER section with: (a) clock name and frequency, (b) clock domain, (c) clock source (primary/generated/derived), (d) reset name and polarity (active-high/active-low), (e) reset synchronization strategy, (f) clock-to-clock relationships for multi-clock designs. This information must be extractable for synthesis constraint generation."
SYNTHESIS_CLOCKING,2,"All clock signals must be clearly identified with '_clk' or 'clk_' naming convention; document clock frequency and duty cycle requirements in TOP_HEADER."
SYNTHESIS_CLOCKING,3,"All reset signals must be clearly identified with '_rst' or '_rst_n' or 'rst_' naming convention; document reset polarity (active-high or active-low) in TOP_HEADER."
SYNTHESIS_CLOCKING,4,"Generated clocks must be properly constrained in timing constraints file; document generated clock derivation, frequency, phase relationship to source clock, and generation logic."
SYNTHESIS_CLOCKING,5,"Clock groups must be defined for asynchronous clock domains; document which clocks are async with rationale and CDC strategy."
SYNTHESIS_CLOCKING,6,"All clock gating logic must be clearly identified with section header and follow project-specific gating methodology; use 'STA_CG' tag in comment to mark clock gating cells for STA tool recognition."
SYNTHESIS_CLOCKING,7,"Clock gating cells must use integrated clock gating (ICG) cells provided by library; do not hand-instantiate gates for clock gating; document gating conditions and power savings rationale."
SYNTHESIS_CLOCKING,8,"Clock tree insertion: high-fanout clocks should use balanced clock tree; document expected clock skew, insertion delay, and jitter requirements in TOP_HEADER."
SYNTHESIS_CLOCKING,9,"Clock domain crossing (CDC) synthesis: use only proven synchronizer patterns; document which CDC synchronizer pattern used (2FF, MCP FIFO, handshake, Gray-code)."
SYNTHESIS_CLOCKING,10,"For DFT (Design For Test), avoid gated clocks in scan chains unless using test-mode bypass; document DFT strategy, scan insertion points, and clock gating test mode."
SYNTHESIS_RESET,1,"Reset synchronization: async reset de-assertion must be synchronized to destination clock domain; use reset synchronizer circuit with at least 2 flip-flops."
SYNTHESIS_RESET,2,"Document reset initialization strategy: whether design relies on explicit reset or power-on-reset (POR); list all state elements that must be reset vs those that can power up to X."
SYNTHESIS_RESET,3,"Reset distribution: for large designs, use reset tree with documented fanout limits per reset buffer stage; document reset assertion and de-assertion timing."
SYNTHESIS_RESET,4,"Document reset scope: global reset vs local resets; if using local resets, document reset domain boundaries and reset sequencing requirements."
SYNTHESIS_RESET,5,"Async reset recovery and removal timing must be met; document recovery/removal timing constraints and any special reset synchronization requirements."
